Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","STM32L476RGT6TR","IC MCU 32BIT 1MB FLASH 64LQFP","U1","CMP-12105-000039-1","Up to date","STMicroelectronics","STM32L476RGT6TR","Volume Production","Mouser","511-STM32L476RGT6TR","7.09","70.9"
"","SX1276IMLTRT","Low Power Long Range Transceiver, 137 to 1020 MHz, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel","U2","CMP-2000-05356-1","Up to date","Semtech","SX1276IMLTRT","Volume Production","Arrow Electronics","SX1276IMLTRT","7.88","78.81"
"","4259-63","IC RF Switch SPDT, 50 Ohm, 6-Pin SC70, RoHS, Tape and Reel","U3","CMP-2000-05298-1","Up to date","Peregrine Semiconductor","4259-63","Unknown","","","",""
"","4259-63","IC RF Switch SPDT, 50 Ohm, 6-Pin SC70, RoHS, Tape and Reel","U4","CMP-2000-05298-1","Up to date","Peregrine Semiconductor","4259-63","Unknown","","","",""
"","","FLASH - NOR Memory IC 512Mb (64M x 8) SPI - Quad I/O 133 MHz 8-WSON (8x6)","U5","","","","","","","","",""
"","INA260AIPWR","IC MONITOR PWR/CURR 16TSSOP","U6","CMP-04910-000015-1","Up to date","Texas Instruments","INA260AIPWR","Volume Production","Mouser","595-INA260AIPWR","4.22","42.2"
"","LMR36015BRNXT","IC REGULATOR BUCK","U7","CMP-04918-000354-1","Up to date","Texas Instruments","LMR36015BRNXT","Volume Production","Mouser","595-LMR36015BRNXT","2.43","24.3"
"","USBLC6-2SC6","17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6","U8","","","","","","","","",""
"","B39162B3913U410","No Description Available","U9","","","Qualcomm","B39162B3913U410","","","","",""
"","LSM6DSOXTR","INEMO INERTIAL MODULE: 3D ACCELE","U10","CMP-12177-000010-1","Up to date","STMicroelectronics","LSM6DSOXTR","Volume Production","Newark","99AC0350","3.17","31.7"
"","MAX-M10S-00B","GNSS LCC RX, ROM, TCXO, LNA, SAW","U11","CMP-207130-000026-1","Up to date","u-blox","MAX-M10S-00B","Volume Production","Future Electronics","8161892","16.51","165.1"
"","TLV76733DRVR","VOLTAGE COMPARATOR","U12","CMP-04917-000203-1","Up to date","Texas Instruments","TLV76733DRVR","Volume Production","Arrow Electronics","TLV76733DRVR","0.1828","548.4"
"","FXL6408UMX","IC GPIO EXPANDER I2C 8B 16-UMLP","U13","CMP-07097-000002-1","Up to date","onsemi","FXL6408UMX","Volume Production","Farnell","3368559","0.42618","4.26"
"","ABM3B-16.000MHZ-10-B-1-U-T","Crystal 16MHz ±10ppm 10pF SMD-4 5mm x 3.2mm","Y1","CMP-27762-008385-1","Up to date","Abracon","ABM3B-16.000MHZ-10-B-1-U-T","Volume Production","","","",""
"","ABM11-32.000MHZ-B1U-T","Crystal 32MHz ±10ppm 10pF SMD-4 2mm x 1.6mm","Y2","CMP-27762-009665-1","Up to date","Abracon","ABM11-32.000MHZ-B1U-T","Volume Production","Newark","87AK6778","0.416","416"
