Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C66","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GJM1555C1H3R3BB01D","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","C67","CMP-2008-03846-2","Up to date","Murata","GJM1555C1H3R3BB01D","Volume Production","Mouser","81-GJM1555C1H3R3BB01","0.036","2.16"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C68","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71H104KE14D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V","C69","CMP-2008-04639-2","Up to date","Murata","GRM155R71H104KE14D","Volume Production","Newark","96Y9233","0.015","1.05"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C70","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C71","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","C0603C105K4PACTU","CAP CER 1UF 16V X5R 0603","C72","CMP-2006-02279-2","Up to date","KEMET","C0603C105K4PACTU","Volume Production","Mouser","80-C0603C105K4P","0.045","0.9"
"","C1608X5R1C225K080AB","Multilayer Ceramic Capacitors 2.2µF ±10% 16V X5R SMD 0603","C73","CMP-08246-005448-1","Up to date","TDK","C1608X5R1C225K080AB","Volume Production","Mouser","810-C1608X5R1C225K-4","0.063","0.63"
"","1210YC475K4T2A","Automotive Ceramic Capacitor, 1210, 4.7uF, 10%, X7R, 15%, 16V","C74","CMP-04427-009609-1","Up to date","KYOCERA AVX","1210YC475K4T2A","Volume Production","Mouser","581-1210YC475K4","1.01","20.2"
"","SMBJ5.0A-TR","TVS DIODE 5V 13.4V SMB","D1","CMP-12225-000019-1","Up to date","STMicroelectronics","SMBJ5.0A-TR","Volume Production","Newark","33X1190","0.115","1.15"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D2","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D3","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D4","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D5","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
"","LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","D6","CMP-2000-06620-1","Up to date","Lite-On","LTST-C170KGKT","Volume Production","Mouser","859-LTST-C170KGKT","0.124","8.68"
